Wall time,Step,Value
1644436564.806039,500,-228.78952026367188
1644436565.3824966,1000,-285.37890625
1644436565.9599528,1500,-393.04437255859375
1644436566.547382,2000,-473.3291931152344
1644436567.1517658,2500,-502.37054443359375
1644436567.7072809,3000,-530.7713012695312
1644436568.2977023,3500,-521.047119140625
1644436568.8761554,4000,-506.48345947265625
1644436569.4396486,4500,-491.086669921875
1644436570.057995,5000,-475.80560302734375
1644436570.6873133,5500,-472.6971435546875
1644436571.2697551,6000,-445.4403991699219
1644436572.0466776,6500,-432.1288757324219
1644436572.739824,7000,-419.8044738769531
1644436573.3950868,7500,-412.430908203125
1644436574.0652807,8000,-396.40582275390625
1644436574.8521774,8500,-390.0160827636719
1644436575.9741762,9000,-390.0160827636719
1644436576.9146633,9500,-370.0455322265625
1644436577.5649233,10000,-363.31561279296875
1644436578.3887198,10500,-350.9324645996094
1644436579.3361878,11000,-343.7933654785156
1644436580.0153737,11500,-339.8836975097656
1644436580.8431578,12000,-336.25848388671875
1644436581.760704,12500,-328.9033508300781
1644436582.5037196,13000,-320.2777099609375
1644436583.1719308,13500,-315.3265075683594
1644436584.3398075,14000,-306.6932678222656
1644436584.9471855,14500,-299.11651611328125
1644436585.5934558,15000,-295.9316101074219
1644436586.3155253,15500,-289.8330383300781
1644436587.0495658,16000,-279.9765319824219
1644436587.6639204,16500,-271.42529296875
1644436588.346096,17000,-268.5519714355469
1644436589.0801349,17500,-263.3559265136719
1644436589.6565926,18000,-257.6721496582031
1644436590.4325173,18500,-255.83502197265625
1644436591.144614,19000,-250.15907287597656
1644436591.7370296,19500,-244.96490478515625
1644436592.368342,20000,-244.50552368164062
1644436593.1313012,20500,-240.9810333251953
1644436593.819463,21000,-239.04197692871094
1644436594.4198568,21500,-237.94517517089844
1644436595.0122728,22000,-227.6710662841797
1644436595.8610022,22500,-214.84141540527344
1644436596.6538837,23000,-202.34765625
1644436597.2832007,23500,-197.96217346191406
1644436597.99031,24000,-184.4403533935547
1644436598.8689618,24500,-178.3228302001953
1644436599.7127063,25000,-163.5332794189453
1644436600.3290567,25500,-157.02906799316406
1644436601.2306461,26000,-148.77865600585938
1644436602.0285127,26500,-137.30722045898438
1644436602.6169405,27000,-119.76689910888672
1644436603.3509755,27500,-111.1643295288086
1644436604.312406,28000,-108.84515380859375
1644436604.9387314,28500,-96.61991119384766
1644436605.5929813,29000,-92.93091583251953
1644436606.356939,29500,-86.24775695800781
1644436607.187718,30000,-79.97154998779297
1644436607.8818626,30500,-77.36798095703125
1644436608.4912329,31000,-72.32833862304688
1644436609.140496,31500,-69.90779876708984
1644436609.979254,32000,-66.98473358154297
1644436610.7452054,32500,-64.4548110961914
1644436611.375522,33000,-65.16020202636719
1644436612.0008497,33500,-68.5548324584961
1644436612.803703,34000,-68.02289581298828
1644436613.573643,34500,-68.1391830444336
1644436614.4034257,35000,-68.88103485107422
1644436615.071638,35500,-66.53565979003906
1644436615.6899843,36000,-65.14754486083984
1644436616.6414397,36500,-63.3717155456543
1644436617.5889068,37000,-60.034915924072266
1644436618.2461503,37500,-56.3251838684082
1644436618.8555202,38000,-55.64995574951172
1644436619.767084,38500,-51.3864860534668
1644436620.588886,39000,-51.30921936035156
1644436621.2740552,39500,-45.06944274902344
1644436622.0041022,40000,-44.30583190917969
1644436623.0682561,40500,-39.6561393737793
1644436623.8142617,41000,-38.50907516479492
1644436624.6340697,41500,-38.45791244506836
1644436625.377083,42000,-38.44963073730469
1644436626.2627153,42500,-34.853126525878906
1644436626.9419003,43000,-31.723791122436523
1644436627.5901883,43500,-32.28478240966797
1644436628.4099736,44000,-30.006826400756836
1644436629.4282508,44500,-30.753374099731445
1644436630.2839637,45000,-31.52861976623535
1644436631.2553947,45500,-27.006559371948242
1644436632.3733776,46000,-29.156352996826172
1644436633.4983683,46500,-26.919599533081055
1644436634.4218996,47000,-26.691776275634766
1644436635.1479592,47500,-24.12767219543457
1644436635.756343,48000,-22.14258575439453
1644436636.756656,48500,-23.898218154907227
1644436637.5754683,49000,-30.880441665649414
1644436638.4142249,49500,-30.628799438476562
1644436639.0854304,50000,-26.28451156616211
1644436639.729709,50500,-25.13687515258789
1644436640.5136106,51000,-24.81267738342285
1644436641.4660647,51500,-26.569324493408203
1644436642.2669234,52000,-22.331741333007812
1644436643.2014246,52500,-22.331741333007812
1644436644.015249,53000,-21.555612564086914
1644436644.8430345,53500,-24.695632934570312
1644436645.8004768,54000,-22.591341018676758
1644436646.4517345,54500,-24.900157928466797
1644436647.1119688,55000,-26.064319610595703
1644436647.8539853,55500,-25.94679832458496
1644436648.6937394,56000,-28.33329963684082
1644436649.4287739,56500,-27.755023956298828
1644436650.3832223,57000,-20.364412307739258
1644436651.1751041,57500,-23.16065788269043
1644436652.1524918,58000,-21.354848861694336
1644436653.046102,58500,-21.354848861694336
1644436653.740246,59000,-21.748485565185547
1644436654.4742827,59500,-21.405643463134766
1644436655.345953,60000,-17.674901962280273
1644436656.032135,60500,-13.925873756408691
1644436656.7282567,61000,-9.665977478027344
1644436657.5251262,61500,-9.76948356628418
1644436658.5364215,62000,-7.255589485168457
1644436659.3702173,62500,-7.204827308654785
1644436660.2638044,63000,-4.712100028991699
1644436661.042721,63500,-5.7174553871154785
1644436661.7119324,64000,-9.094703674316406
1644436662.5656493,64500,-7.4961395263671875
1644436663.4782083,65000,-2.296459913253784
1644436664.257126,65500,-7.956416606903076
1644436665.076934,66000,-8.131963729858398
1644436665.7561188,66500,-8.44458293914795
1644436666.695606,67000,-4.545623302459717
1644436668.1906097,67500,-7.938327789306641
1644436668.9196603,68000,-13.679095268249512
1644436669.5828862,68500,-18.20534324645996
1644436670.2181876,69000,-24.810625076293945
1644436671.0699103,69500,-24.28871726989746
1644436671.985464,70000,-25.634925842285156
1644436672.727478,70500,-31.758798599243164
1644436673.7248118,71000,-32.75994110107422
1644436674.5545943,71500,-28.64874839782715
1644436675.2567158,72000,-27.750295639038086
1644436676.1124277,72500,-35.150848388671875
1644436677.0968027,73000,-36.61042404174805
1644436678.254699,73500,-34.48783874511719
1644436678.922913,74000,-31.997053146362305
1644436679.73076,74500,-34.25437545776367
1644436680.719209,75000,-33.71453094482422
1644436682.139189,75500,-31.434680938720703
1644436683.2905388,76000,-31.851293563842773
1644436684.2904348,76500,-30.078691482543945
1644436685.0421627,77000,-29.718963623046875
1644436686.052086,77500,-30.81669044494629
1644436687.3762357,78000,-35.35602951049805
1644436688.568845,78500,-33.74578857421875
1644436689.3487475,79000,-31.692768096923828
1644436690.1622834,79500,-26.422883987426758
1644436691.111882,80000,-27.106090545654297
1644436692.0628777,80500,-24.941879272460938
1644436693.2682838,81000,-26.507259368896484
1644436694.0254924,81500,-26.078330993652344
1644436695.0041506,82000,-22.02303123474121
1644436695.9339073,82500,-19.369625091552734
1644436696.660964,83000,-19.398738861083984
1644436697.4686127,83500,-19.327970504760742
1644436698.550851,84000,-19.909122467041016
1644436699.2091606,84500,-24.084753036499023
1644436699.953824,85000,-25.32105827331543
1644436700.701921,85500,-21.824432373046875
1644436701.4848285,86000,-22.923477172851562
1644436703.2052286,86500,-22.923477172851562
1644436703.897377,87000,-19.91696548461914
1644436704.6852722,87500,-18.444578170776367
1644436705.3594677,88000,-18.556150436401367
1644436706.1324022,88500,-18.6170654296875
1644436707.2683644,89000,-21.046483993530273
1644436708.1679585,89500,-26.50995635986328
1644436708.9767954,90000,-26.50995635986328
1644436710.1755915,90500,-27.459205627441406
1644436711.149985,91000,-27.459205627441406
1644436713.2374034,91500,-28.62019157409668
1644436714.2217748,92000,-28.62019157409668
1644436715.0914466,92500,-29.060279846191406
1644436715.8534098,93000,-32.71073532104492
1644436716.9833865,93500,-29.132572174072266
1644436718.5601718,94000,-29.132572174072266
